Title,Price,Image URL
"Apple MacBook Pro 13.3-inch, Silver, 8GB RAM, 128GB SSD, Intel Core i5",US $219.00,https://i.ebayimg.com/thumbs/images/g/hx0AAOSwvYFljFes/s-l300.webp
"Apple MacBook Pro 2020 13"" Touch Bar 2.3GHz i7 16GB  512GB SSD | Gray #",US $399.00,https://i.ebayimg.com/thumbs/images/g/SZEAAOSwxD9l-1TC/s-l300.webp
"2020 Apple MacBook Pro 13"" M1 3.2GHz 8GB RAM 256GB SSD Space Gray A2338 Read",US $449.99,https://i.ebayimg.com/thumbs/images/g/YLQAAOSwjOpmctau/s-l300.webp
"APPLE 2019 Macbook Pro A2141 16"" I7-9750H@2.60GHz 16GB/512G Pro 5300M MVVL2LL/A",US $479.99,https://i.ebayimg.com/thumbs/images/g/jugAAOSwPFJl1U7j/s-l300.webp
Apple MacBook Pro Laptop + 16 GB RAM + 1 TB HD + 2 YR WARRANTY + OFFICE,US $123.00/ea,https://i.ebayimg.com/images/g/EJ0AAOSwdPVjVx~a/s-l500.jpg
Apple MacBook Pro 2020 A2338 13in M1 8 Core 8GB RAM 256GB SSD Very Good,US $574.95,
Apple Macbook Pro 13.3” 2.5GHz intel Core i5 16GB RAM 1TB HDD Turbo🔥,US $299.00,https://i.ebayimg.com/thumbs/images/g/8y4AAOSwwWpmKVLa/s-l300.webp
"2015 Apple Macbook Pro 13"" Retina - i5 2.7GHZ 8GB 512GB - OS Monterey Very Good",US $179.10,https://i.ebayimg.com/thumbs/images/g/g4EAAOSwVe1mYKlW/s-l300.webp
"Apple MacBook Pro Intel Core i5, 13.3-inch, 8GB RAM, 256GB SSD, Space Gray",US $150.00,https://i.ebayimg.com/thumbs/images/g/rz4AAOSwDxFmcvJu/s-l300.webp
"Apple MacBook Pro 15"" 2.9GHz Core i7 16GB RAM 512GB SSD A1707, EMC 3162 2017",US $202.50,https://i.ebayimg.com/thumbs/images/g/M60AAOSwKxVmbIbi/s-l300.webp
"Apple MacBook Pro A1278 13.3"" i5-3210M 2.5GHz 4GB 500GB MD101LL/A Mid 2012 nice",US $74.95,https://i.ebayimg.com/thumbs/images/g/~OgAAOSwS~FmQlQl/s-l300.webp
"MacBook Pro Retina 15.4'' (512GB SSD, Intel Core i7-7700HQ, 2.80 GHz, 16GB)...",US $275.00,https://i.ebayimg.com/thumbs/images/g/Dy4AAOSwlVNmKYpM/s-l300.webp
"Apple 2019 16"" MacBook Pro 2.6GHz i7 16GB RAM 512GB SSD RP5300M 4GB - READ",US $399.98,https://i.ebayimg.com/thumbs/images/g/y3gAAOSwKaVmccuD/s-l300.webp
"Apple MacBook Pro 15.4"" (256GB SSD, Intel Core i7 4th Gen., 2.2GHz, 16GB RAM)...",US $120.00,https://i.ebayimg.com/thumbs/images/g/3-gAAOSw1YpmcfDn/s-l300.webp
MacBook Pro 15 inch Touch Bar 512GB SSD 16GB i7 Ventura Space Gray - NEW BATTERY,US $585.00,https://i.ebayimg.com/thumbs/images/g/f~4AAOSwtO5mbKGV/s-l300.webp
"MacBook Pro 12,1 A1502 13"" Intel Core i7 3.1GHz, 16GB RAM, 250GB SSD #2507",US $102.50,https://i.ebayimg.com/thumbs/images/g/8YwAAOSw~uBmadfv/s-l300.webp
Apple A2251 MacBook Pro 13 Inch 2.3 GHz Core i7 16GB RAM 500GB 2020 Touch Bar,US $449.99,https://i.ebayimg.com/thumbs/images/g/-ngAAOSwL7xmO6Il/s-l300.webp
"Apple MacBook Pro 14"" M3 Pro Chip 18GB RAM 512GB SSD Space Black MRX33LL/A","US $1,599.99",https://i.ebayimg.com/thumbs/images/g/RYMAAOSwf1dlbqoj/s-l300.webp
"Apple MacBook Pro 15"" i7 Retina 1TB SSD 16GB 3.4Ghz Monterey - 3 Year Warranty",US $529.00,https://i.ebayimg.com/thumbs/images/g/sYAAAOSwGcBjhTyv/s-l300.webp
"Apple MacBook Pro  2017, 13.3in(512GB SSD, Intel Core I7, 3.50GHz, 16GB RAM)...",US $285.00,https://i.ebayimg.com/thumbs/images/g/oaMAAOSwc39mcf61/s-l300.webp
"A1297 MacBook Pro El Capitan 17"" Early 2011 2.2 GHz 16GB RAM 128 GB HHD",US $110.50,https://i.ebayimg.com/thumbs/images/g/hqUAAOSwjChmagR8/s-l300.webp
"APPLE MACBOOK PRO A1707 15"" i7 2.9GHz 2017 16GB 512GB Grade D",US $261.24,https://i.ebayimg.com/thumbs/images/g/jDMAAOSwztFkiL4a/s-l300.webp
"15"" MacBook Pro 2017 Gray 2.9 i7 16GB 512GB SSD 560 Ventura + Warranty + Good",US $375.00,https://i.ebayimg.com/thumbs/images/g/7M0AAOSwIUJifYCB/s-l300.webp
"Apple Macbook Pro Mid 2018 Touchbar 13"" A1989 I5 2.3GHz 16GBb 512GB MR9Q2LL/A",US $379.00,https://i.ebayimg.com/thumbs/images/g/N-IAAOSw-GlmBsuq/s-l300.webp
